"state","Cancel/Total"
"Alabama",0
"Alaska",0.09
"Arizona",0.0248756218905473
"Arkansas",0.0253164556962025
"California",0.0714944649446494
"Colorado",0.011441647597254
"Connecticut",0.843137254901961
"District of Columbia",0.193023255813953
"Florida",0.077260755048288
"Georgia",0.06703146374829
"Hawaii",0.0509259259259259
"Idaho",0
"Illinois",0.0771899392888118
"Indiana",0.031496062992126
"Iowa",0.0196078431372549
"Kansas",0
"Kentucky",0.0285714285714286
"Louisiana",0.0203045685279188
"Maine",1
"Maryland",0.0880281690140845
"Massachusetts",0.865
"Michigan",0.0561122244488978
"Minnesota",0.0452380952380952
"Mississippi",0
"Missouri",0.0359820089955022
"Montana",0
"Nebraska",0.0175438596491228
"Nevada",0.0259179265658747
"New Hampshire",0.75
"New Jersey",0.42032967032967
"New Mexico",0
"New York",0.444582814445828
"North Carolina",0.0650095602294455
"North Dakota",0
"Ohio",0.12573673870334
"Oklahoma",0
"Oregon",0.0119760479041916
"Pennsylvania",0.169540229885057
"Rhode Island",0.658823529411765
"South Carolina",0
"South Dakota",0
"Tennessee",0.0422535211267606
"Texas",0.0290753098188751
"Utah",0.036697247706422
"Vermont",0.846153846153846
"Virginia",0.15929203539823
"Washington",0.0342679127725857
"West Virginia",0
"Wisconsin",0
"Wyoming",0
