"state","Cancel/Total"
"Alabama",0
"Alaska",0.09
"Arizona",0.0514096185737977
"Arkansas",0.0253164556962025
"California",0.0761421319796954
"Colorado",0.0434782608695652
"Connecticut",0.509803921568627
"District of Columbia",0.20979020979021
"Florida",0.107111501316945
"Georgia",0.105335157318741
"Hawaii",0.0509259259259259
"Idaho",0
"Illinois",0.119791666666667
"Indiana",0.031496062992126
"Iowa",0.0196078431372549
"Kansas",0
"Kentucky",0.0142857142857143
"Louisiana",0.0152284263959391
"Maine",1
"Maryland",0.105633802816901
"Massachusetts",0.73
"Michigan",0.0841683366733467
"Minnesota",0.0595238095238095
"Mississippi",0
"Missouri",0.0569715142428786
"Montana",0
"Nebraska",0
"Nevada",0.0301724137931034
"New Hampshire",0.522727272727273
"New Jersey",0.266483516483516
"New Mexico",0
"New York",0.342039800995025
"North Carolina",0.0898661567877629
"North Dakota",0
"Ohio",0.135559921414538
"Oklahoma",0.0072463768115942
"Oregon",0.0179640718562874
"Pennsylvania",0.186513629842181
"Rhode Island",0.423529411764706
"South Carolina",0
"South Dakota",0
"Tennessee",0.0563380281690141
"Texas",0.039103481163567
"Utah",0.0410958904109589
"Vermont",1
"Virginia",0.149122807017544
"Washington",0.0342679127725857
"West Virginia",0
"Wisconsin",0
"Wyoming",0
