"city","min","mean","max"
"Abilene",-29,6.71178149205055,292
"Albany",-50,7.746236422537,454
"Albuquerque",-60,5.33537958999775,671
"Allentown",-47,5.54952076677316,421
"Amarillo",-32,7.79483282674772,318
"Anchorage",-61,9.22383150039277,509
"Asheville",-20,2.64034505640345,162
"Atlanta",-65,4.99898542704298,700
"Austin",-64,4.88140872065165,696
"Avoca",-30,6.27108868060562,259
"Bakersfield",-26,6.0327763496144,167
"Bangor",-56,15.6816423683428,329
"Barrow",-23,7.50866336633663,195
"Baton Rouge",-40,7.42257865515114,330
"Beaumont / Port Arthur",-31,3.68764705882353,188
"Bethel",-21,9.89108910891089,208
"Billings",-38,6.14904502046385,340
"Binghamton",-21,5.1680216802168,160
"Birmingham",-40,4.88011091779034,654
"Bismarck",-26,4.86966126656848,289
"Bloomington",-44,8.973604826546,238
"Blountville",-19,-0.374760994263862,174
"Boise",-52,6.79778697525129,344
"Boston",-61,5.65926608857437,620
"Bozeman",-43,4.55446756425949,381
"Brownsville",-22,8.77822580645161,180
"Buffalo",-47,5.35187287173666,644
"Burbank",-43,6.64473227709032,425
"BWI Airport",-70,5.79857756307032,496
"Cedar Rapids",-37,6.60202411073076,263
"Champaign",-33,8.10094451003542,278
"Charleston",-35,3.82847652121395,446
"Charlotte",-56,2.71216053009531,664
"Chattanooga",-30,5.11130039750142,266
"Chicago",-67,7.31796619574264,1277
"Cincinnati",-54,2.04717663333962,559
"Cleveland",-63,3.44466675731852,630
"College Station",-29,4.41415785191212,205
"Colorado Springs",-37,7.31794775770059,628
"Columbia",-24,4.300395256917,377
"Columbus",-58,6.01613759422444,437
"Cordova",-24,13.1983002832861,382
"Corpus Christi",-32,9.95778210116731,329
"Dallas",-76,4.12553184645392,1425
"Dayton",-35,6.43196605374823,364
"Daytona Beach",-32,8.32427843803056,301
"Deadhorse",-25,10.2974828375286,495
"Denver",-84,6.17515936113716,698
"Des Moines",-32,7.86649245753652,392
"Detroit",-62,2.05154963883756,1597
"Dillingham",-28,12.1646090534979,291
"Dubuque",-49,9.16155758077879,201
"Duluth",-28,9.72430939226519,1123
"Durango",-29,4.72932330827068,188
"Eagle",-43,10.0726102941176,230
"El Paso",-65,6.01603746806699,315
"Elmira / Corning",-20,1.66737513283741,149
"Erie",-20,-0.267008046817849,249
"Eugene",-30,9.86206896551724,416
"Evansville",-29,9.83811850946854,353
"Fairbanks",-38,8.04299029864942,277
"Fargo",-28,5.03366804489073,212
"Fayetteville",-19,-2.24016563146998,96
"Fayetteville / Springdale",-72,8.66727173715738,386
"Flint",-25,2.42067089755213,187
"Fort Lauderdale",-64,6.7956380620646,523
"Fort Myers",-65,5.28803502505905,482
"Fort Smith",-31,4.75300985041955,261
"Fort Wayne",-34,9.17560975609756,295
"Fresno",-38,5.14624616243372,237
"Grand Forks",-25,9.35251798561151,668
"Grand Rapids",-36,9.12203454165876,527
"Great Falls",-43,1.63788300835655,272
"Green Bay",-27,6.63945759106621,631
"Greensboro",-51,5.86724174205765,677
"Greenville",-52,6.74418944598743,377
"Gulfport",-21,5.77473182359952,235
"Gunnison",-19,15.7911111111111,714
"Gustavus",-11,9.44444444444444,168
"Harlingen",-33,9.06132949166495,365
"Harrisburg",-36,6.75766445848097,662
"Hayden",-35,10.3125,206
"Helena",-25,1.66827503015682,128
"Hilo",-19,4.49489668907145,162
"Honolulu",-67,4.59968972821385,1191
"Houston",-66,4.17831098176045,929
"Huntsville",-62,5.1749625748503,308
"Indianapolis",-55,6.23101922656762,670
"Islip",-39,6.19141104294479,425
"Ithaca",-22,1.72406417112299,214
"Jackson",-52,7.15169640094875,591
"Jacksonville",-58,5.7337193036991,367
"Juneau",-39,10.7083333333333,483
"Kahului",-65,4.95555866116973,1089
"Kalamazoo",-27,8.98383185125303,235
"Kansas City",-57,4.94091610220643,384
"Keahole",-52,6.43871582097674,727
"Ketchikan",-59,11.3668032786885,404
"Key West",-29,8.88986280487805,257
"Killeen",-33,6.2289641300704,251
"King Salmon",-21,12.0708955223881,337
"Knoxville",-39,4.39513282556195,287
"Kodiak",-18,9.65204678362573,355
"Kotzebue",-19,11.4347357065804,457
"La Crosse",-26,6.63046116504854,239
"Lafayette",-31,5.55883777239709,318
"Lansing",-31,4.07120127287192,246
"Laredo",-28,9.78846153846154,237
"Las Vegas",-75,6.08308872656842,516
"Lawton",-30,5.12160940325497,180
"Lewisburg",-15,1.48,124
"Lexington",-40,4.53851540616246,292
"Lihue",-67,3.71041612143418,295
"Lincoln",-29,8.62008733624454,355
"Little Rock",-45,5.64030279300444,330
"Long Beach",-36,4.37440235380655,171
"Longview",-27,4.70818291215403,294
"Los Angeles",-87,6.11179612689491,1143
"Louisville",-60,4.90979767250954,318
"Lubbock",-34,7.15467400825929,321
"Madison",-32,7.29637561779242,665
"Manchester",-47,5.39136024685009,415
"Mcallen",-29,6.29635258358663,297
"Medford",-31,5.05239179954442,248
"Melbourne",-41,7.6156670746634,336
"Memphis",-55,2.0614099314747,1473
"Miami",-56,6.98428488202738,1361
"Midland",-30,7.07300180080344,270
"Milwaukee",-38,6.84506632534326,360
"Minneapolis",-61,2.03949369680307,1688
"Minot",-29,4.63457943925234,203
"Missoula",-57,3.83363802559415,281
"Mobile",-23,8.00507775309426,415
"Moline",-20,2.67558022199798,243
"Monroe",-47,7.68721901091843,250
"Monterey",-27,4.7982967279247,200
"Montrose",-28,3.93560606060606,144
"Myrtle Beach",-35,4.00107104605498,163
"Naples",-21,8.87610619469027,125
"Nashville",-50,3.67318339414402,781
"New Orleans",-60,5.5317290159697,722
"New York",-71,6.97054891229649,1260
"Newark",-76,6.42263221077905,842
"Newburgh",-27,9.55832591273375,299
"Nome",-19,12.1548856548857,449
"Norfolk",-43,5.68282284303826,398
"North Canton",-31,0.835787089467724,206
"Oakland",-62,6.72407993991444,959
"Oklahoma City",-37,7.16608225928734,368
"Omaha",-37,6.91762902960976,731
"Ontario",-50,6.1856063869504,359
"Orange County",-59,5.04579565133731,1024
"Orlando",-953,4.95436792771491,852
"Palm Springs",-53,7.99087125788696,317
"Pasco",-24,5.29678638941399,211
"Pensacola",-30,5.60897181421199,279
"Peoria",-25,8.10231425091352,261
"Petersburg",-33,16.8009049773756,492
"Philadelphia",-56,8.14213480124079,880
"Phoenix",-212,5.47120708748616,677
"Pittsburgh",-57,2.78160104055812,638
"Portland",-81,6.64771712791736,782
"Providence",-47,5.60320892919428,1037
"Rapid City",-35,2.3179012345679,809
"Rdu Airport",-55,4.43055003839941,382
"Reno",-67,6.36135147891756,703
"Richmond",-48,5.72758124820247,502
"Roanoke",-19,4.91395045632334,185
"Rochester",-47,6.43836033621635,940
"Sacramento",-54,5.93054850177755,443
"Saginaw",-30,3.00387187609996,582
"Saint Louis",-1116,3.98673508969394,560
"Salt Lake City",-62,4.95871777154548,875
"San Angelo",-31,3.23005132991134,248
"San Antonio",-61,5.82384449721133,733
"San Diego",-72,6.46909366704589,610
"San Francisco",-80,8.23388940564881,1297
"San Jose",-73,5.729846902275,934
"San Luis Obispo",-32,5.46025641025641,194
"Santa Barbara",-26,4.52696258253852,279
"Sarasota",-44,4.37941176470588,239
"Savannah",-32,8.02805331680099,497
"Seattle",-71,10.3485694172072,1110
"Shreveport",-30,6.38148277062304,291
"Sioux City",-25,1.27480916030534,134
"Sioux Falls",-30,3.26944065484311,339
"Sitka",-24,12.1927083333333,414
"South Bend",-29,1.4968253968254,765
"South Burlington",-36,11.2336538461538,302
"Spokane",-40,8.85016821202921,348
"Springfield",-34,4.86413380136279,270
"Syracuse",-40,6.80368386429847,531
"Tallahassee",-26,11.0952712100139,314
"Tampa",-57,6.60070501039438,640
"Texarkana",-28,4.52567237163814,192
"Toledo",-35,7.85435506901475,241
